channel_id,channel_link,channel_name,subscriber_count,banner_link,description,keywords,avatar,country,total_views,total_videos,join_date,mean_views_last_30_videos,median_views_last_30_videos,std_views_last_30_videos,videos_per_week
UCCxUCSXXiYONyoCbmw765fQ,/@daddyonthetube,daddyonthetube,118000,"https://yt3.googleusercontent.com/gdLOymcg9LXvH6MIbSJoQoDQBafiDC9_ZEj9uqXpRmLUEJBUrw6_ChAh4hX0SIvpa935PKMzLQ=w1280-fcrop64=1,00000000ffffffff-k-c0xffffffff-no-nd-rj",Welcome to the Official YouTube Channel for Daddy.,"daddy, nimantha, viresh, shamila, dilasalle, chika, massina, chandrayan, ai, kale, sms, borukari",https://yt3.googleusercontent.com/pzL2vYluc-LOYxGTFYhobLGtTD-fYi-0-tntrQaRQiWubl9Qmo3qcZxFQtxkOAUcm-sNBwe6wo8=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,18368079,83,12/10/2009,48878.3,23497,59544.11501,0.25
UCFNLcJOcLG7mVblwqL8Krqw,/@GOMANDIZER,ROYAL GOMANDIZER ,1410,"https://yt3.googleusercontent.com/3mCzWPvAW7jlXUEDuxnHbQdAPLiOJWJ-TZvBqtW9iaDtDJ3gwNvKFY06c0d3eAjzFpqnIYBcww=w1280-fcrop64=1,00000000ffffffff-k-c0xffffffff-no-nd-rj","""👑 Welcome to Royal Gomandizer! 🍲✨

Embark on a culinary journey fit for royalty with our gastronomic delights straight from the heart of Sri Lanka. 🇱🇰 Indulge your senses in the art of cooking as we explore traditional Sri Lankan recipes, fusion creations, and global cuisines through the lens of our vibrant culinary culture.","cook, drinck, food, funney, eate, taste, cooking, royal, gomandizer",https://yt3.googleusercontent.com/-RkF2GDjWiht085jOIAQKof8hEZskRZiEZld1Rixg7hglugBc-6bfgUTYm-2LF8lU2gwpHT3=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,366516,100,7/29/2022,381.6666667,367,172.3201155,0
UC8oMGnzxj-kyIch3u902USg,/@LuckyWisdom8,Lucky Wisdom,409,"https://yt3.googleusercontent.com/jdBbhsP2S3u78DULiO--ufsQdjKDf37rm0jiyYMh-PbJrqaPlDPROe4Svjm_vvdClWGnw-rssA=w1280-fcrop64=1,00000000ffffffff-k-c0xffffffff-no-nd-rj","https://www.youtube.com/@LuckyWisdom8?sub_confirmation=1
At Lucky Wisdom, our mission is to become the most sought-after YouTube channel globally for Leadership, Personal Development, and Management. We are dedicated to providing insightful and actionable content that empowers individuals to enhance their leadership skills, foster personal growth, and excel in effective management practices. Join us on a journey of continuous learning, inspiration, and success on the path to unlocking your fullest potential.

At Lucky Wisdom, we believe that knowledge is power. 
Our channel is your go-to destination for insightful and actionable content on a wide range of subjects.

📚💡 Explore the World of Knowledge:

🔔 Subscribe and Join the Wisdom Community:
Don't miss out on the latest updates! Hit that subscribe button and join our community of like-minded individuals on a journey of continuous learning and self-improvement. 

","Training, Attitude, Knowledge, Skills, Motivation, Success, Life, Teaching, Coaching, Workout, Refresher, Brush-up, Guidance, Education, Practice, Lesson, Learning, Tutoring, Developing, Shaping, Strengthening, Mentoring, Leadership, Team, Sales, Team Building, Managing, Leading, People, Positive Attitude, Negative Attitude, Moderate Attitude, Balanced Attitude, Types of Attitudes, Neutral Attitude, How to, 10 ways, business, startup, best ways, best things",https://yt3.googleusercontent.com/pEwcabrP3-YVYcpm3HZU5Xii-bDfz2T1U0g-jV4ZQoPvCdlLg24KmbRMdWVI4BvQ2O5Ob0cLxQ=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,14898,103,12/4/2019,87.56666667,38,170.4608818,0.5
UCWKyH0V9XtZ7mqufzEfY4AQ,/@Floralfoodlk,Floral food lk,28,"https://yt3.googleusercontent.com/OnnVsUrTQZgf3dw8Vs_79djXB4uPpdFKBxwZlPRfDj5m0_b-p7aUBVlIaMjtXM1kETqSkwGB=w1280-fcrop64=1,00000000ffffffff-k-c0xffffffff-no-nd-rj","I am Asawi, A girl with passion to cook and Bake. I live in a semi urban area in Sri lanka with my family and my pets.I spend my time with making delicious food for my family with all the love that I can put on. and Running a small home based cake business . I like to cook native food and even food from various areas of the world. But I have a passion of trying baked food much...

So please come and have look on my simple  life filled with delicious food  surrounded by nature and love of family forgetting the competition of running after success in this world.

With love
Floral Food lk
Asawi

Pastries by Asawi 
",,https://yt3.googleusercontent.com/3YDQZgrQhM_HnsEowUOvZ654-ZbBmSq0kkzwnEZg_0ny-EJFjwHgZjDaJQ-Y93d6qBvcb76h=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,4419,10,3/19/2017,88.66666667,43,66.00168348,0.25
UCWrRyhDLvvoun3gD3UD7jfA,/@bolgodaplainsfgsuom9363,BolgodaPlains FGSUoM,256,,,"Bolgoda Plins, University of Moratuwa, FGS, Research Magazine, research articles",https://yt3.googleusercontent.com/ytc/AIdro_kAwxtxevmlEugCjK4dXTjaehKVHjhnkHQANu_G=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,9444,167,4/27/2021,101.1666667,52,149.1648045,0.5
UCSNLxNWrxXum4wc8CnMGmyw,/@VikumMobile,Vikum Mobile,120000,"https://yt3.googleusercontent.com/MdCa1XytnMY4RueJNICRNUOjNM59Xr7wDUgLbiu6TFYGAyGPghfZcgwoIv13KyH9cSJo6s2e=w1280-fcrop64=1,00000000ffffffff-k-c0xffffffff-no-nd-rj","Vikum Mobile ✔ Is Verify YouTube Channel Always Uploaded  mobile phone tricks, mobile phone repair and other technology Videos the Best YouTube Channel in Sri Lanka.Thanks for watching my videos. ❤
 _________________________________________
👉Sri Lanka Tutorial Android sinhala
👉mobile phone repair sinhala
👉small phone and andraid phone tutorials Sinhala
👉Android Tips And Tricks Sinhala
👉Mobile Secret Sinhala
👉Android Mobile Problem Solutions sinhala

","vikum mobile, vikum mobile kuliyapitiya, vikum lasantha, mobile phone repair, mobile phone, mobile phone repair sinhala, mobile phone repair course, mobile phone repair course srilanka, mobile phone repair technician, new technology, new technology sinhala, new smartphone 2022, iphone unlock sri lanka, smartphone unlock, software box price in sri lanka, software box sinhala, zoom, zoom download",https://yt3.googleusercontent.com/ytc/AIdro_kR8ihi58Gjl86lc4dsgEAQhnghZRgQ8xVG2vYlzA=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,262605,47,12/6/2012,5498.433333,2260.5,6742.435557,0
UCiYJ0grdXZ8zriVDqHSV8Ag,/@talksbydhammikaprabhath7668,Talks by Dhammika Prabhath,1530,"https://yt3.googleusercontent.com/ntWYjTPf52Zlfd_CV96LoTz5-kQMJxw4KJpLBmjEyrn_g95dtBuCuH73ciWt0rOeQxO6hcHa=w1280-fcrop64=1,00000000ffffffff-k-c0xffffffff-no-nd-rj",“Dhammika Prabhath is a rising coach for all people who want to take the right steps towards success. Let’s make change together!”,"How to start a business, what are the new business ideas, top business ideas, Innovative Business, how to earn money more, how to be a Rich, wealthy, entrepreneurship, creative, innovation, business management, Startup",https://yt3.googleusercontent.com/K2bicgACIsYadPTBquMkic8_ewVF2xZnbNbZSEegsR3E8-AbebymvpqvcPzFCHz3AOEHqIh6=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,46755,38,12/3/2012,909.2666667,152,2351.238184,0
UCCksMyw4YfXlIYQxpuAo2YQ,/@justlaunched,Just Launched,4,,"Hi Everyone 

Welcome to the Just Lunch YouTube channel.
""Just Launched""

Yes, indeed an introduction to you as soon as it is released.
This channel will introduce you to all the products that will help you to run your daily activities.
We hope to bring you all the information about technical tools, household appliances, cooking, entertainment and more.
So we invite you to subscribe to our just launched channel and stay tuned with us.
Thank you. Have a nice day
",,https://yt3.googleusercontent.com/EbvEHD5pMOlVqQOTEjCnxczwHgbQlfFCOhViltBt0qOXLp05-oi2xr1mks8ag-AY8qyMEzD15g=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,468,5,8/21/2022,93.8,13,103.8910968,0
UClup7yOGC6SyMW7hX-L8z9g,/@mclipssl2951,M CLIPS SL,126,,"The theaters have changed a lot, but this small movie theater will always be one you love..............................","Movie Hub, New released movies, Adventure, Adventure Movies, Horror Movies, Action Movies, Action, Horror, Funny Movies, Funny, Animation, Animation Movies, Full Movies, Movies, Cute animals, Funny Animal videos, animal funny videos, Cute, Animals",https://yt3.googleusercontent.com/2Avk9jMcLHqMYleLUvBXArQn107Ew2SEvGsuzSudk4Dnephv_gQWiLh2sjJdGXDAT7iEm8Tfog=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,63719,21,7/12/2021,199.1,10.5,311.3539626,0
UClUZI-beqyqf7gS2U9akjLg,/@socialwithnadz,Social with Nadz ,5,"https://yt3.googleusercontent.com/uzKKwFlTFBWAgMWiN5Vna-JiHEmA-VXuWtSayXACONDplF9aeLSFZYiswSvtZnR2EBD0VdXO3g=w1280-fcrop64=1,00000000ffffffff-k-c0xffffffff-no-nd-rj","Welcome to Social with Nadz, the ultimate destination for all things social media and design! 
Are you struggling to make your mark on social media? Do you want to take your online presence to the next level? Then you are in the right place! 
With years of experience in social media management and web and brand design, I am here to guide you every step of the way. 

Join me on this journey of creativity, innovation, and success. 

Book a call with me to know more! https://koji.to/socialwithnadz

Don't forget to hit that subscribe button to never miss a beat! Let's take your brand to new heights together and make more sales!

","social media, social media tips, 7figurebusiness, digital marketing, web designing, brand designing, content creation",https://yt3.googleusercontent.com/kvQnc1wcZurNZz8TG5_wFCQOk5c9WJLgwCKV4El5IpvIzt7VKHW3ETJYVwlNU18CXAY2Bzyq=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=19794,Sri Lanka,855,18,11/30/2022,13.2,1.5,29.60337819,0
